CODI_INTERN,TIPUS_OCUPACIO,DATA_INICI,DATA_FI,DURADA,LAT,LNG,WKT
"5120700911246248607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5401932581939","2,44695204086607","POINT (2.44695204086607 41.5401932581939)"
"5120700911328921107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5406586624765","2,42168487966345","POINT (2.42168487966345 41.5406586624765)"
"5120700911269944607130","TERRASSES DE BAR","04/03/2015","31/12/2019","365","41,5421199123456","2,4385070999793","POINT (2.4385070999793 41.5421199123456)"
"5120700911327894107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5546795200105","2,44194089542104","POINT (2.44194089542104 41.5546795200105)"
"5120700911402129107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5370509161152","2,43345375467517","POINT (2.43345375467517 41.5370509161152)"
"5120700911122043107130","TERRASSES DE BAR","16/04/2014","31/12/2018","365","41,5437939770879","2,44526097160776","POINT (2.44526097160776 41.5437939770879)"
"5120700911223779607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5381376565934","2,44458798974696","POINT (2.44458798974696 41.5381376565934)"
"5120700911135635107130","TERRASSES DE BAR","01/05/2014","31/12/2018","365","41,5413472913611","2,44388295785397","POINT (2.44388295785397 41.5413472913611)"
"5120700911269962107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5453945128721","2,43622986932972","POINT (2.43622986932972 41.5453945128721)"
"5120700911328061107130","TERRASSES DE BAR","01/01/2014","30/09/2017","365","41,5361949237642","2,42177920936622","POINT (2.42177920936622 41.5361949237642)"
"5120700910897239607130","TERRASSES DE BAR","21/03/2014","31/12/2018","365","41,549934807582","2,44827793327219","POINT (2.44827793327219 41.549934807582)"
"5120700911248137607130","TERRASSES DE BAR","08/07/2014","31/12/2018","365","41,5535322155969","2,44150497065102","POINT (2.44150497065102 41.5535322155969)"
"5120700911329038107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5541034231327","2,43960308228838","POINT (2.43960308228838 41.5541034231327)"
"5120700911329655607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5406825872044","2,42247043519093","POINT (2.42247043519093 41.5406825872044)"
"5120700911329158107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5383118541212","2,43289685547903","POINT (2.43289685547903 41.5383118541212)"
"5120700911180047107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5388296646526","2,44479661872794","POINT (2.44479661872794 41.5388296646526)"
"5120700911193510107130","TERRASSES DE BAR","19/05/2014","31/12/2018","365","41,5460745901916","2,45263748455899","POINT (2.45263748455899 41.5460745901916)"
"5120700911177092607130","TERRASSES DE BAR","06/05/2014","31/12/2018","365","41,5458897353182","2,44684663863442","POINT (2.44684663863442 41.5458897353182)"
"5120700911402552107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,537299151457","2,44422905807294","POINT (2.44422905807294 41.537299151457)"
"5120700911207629107130","TERRASSES DE BAR","01/01/2014","23/02/2017","365","41,5439456928401","2,43611537603622","POINT (2.43611537603622 41.5439456928401)"
"5120700911329225107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5356205245072","2,42369641366748","POINT (2.42369641366748 41.5356205245072)"
"5120700911247976607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5406652771925","2,4513784410136","POINT (2.4513784410136 41.5406652771925)"
"5120700911330072107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5377460763763","2,42110361618093","POINT (2.42110361618093 41.5377460763763)"
"5120700910893939607130","TERRASSES DE BAR","19/03/2014","31/12/2018","365","41,5395340918812","2,44755061705225","POINT (2.44755061705225 41.5395340918812)"
"5120700911328594607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5396993118595","2,42297295419665","POINT (2.42297295419665 41.5396993118595)"
"5120700911328608607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5464519519935","2,45378355225278","POINT (2.45378355225278 41.5464519519935)"
"5120700911218547607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,547419274356","2,44659878168249","POINT (2.44659878168249 41.547419274356)"
"5120700911384905607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,534981464075","2,43555112449345","POINT (2.43555112449345 41.534981464075)"
"5120700911328982607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5487123525603","2,44074385784789","POINT (2.44074385784789 41.5487123525603)"
"5120700910890045607130","TERRASSES DE BAR","17/03/2014","31/12/2018","365","41,5335428135353","2,44279569016354","POINT (2.44279569016354 41.5335428135353)"
"5120700911039533107130","TERRASSES DE BAR","11/04/2014","31/12/2018","365","41,5387274685445","2,42510369567894","POINT (2.42510369567894 41.5387274685445)"
"5120700911179879607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5474454115263","2,44965474129373","POINT (2.44965474129373 41.5474454115263)"
"5120700911180009107130","TERRASSES DE BAR","01/01/2014","25/04/2017","365","41,5377750610147","2,42576077942813","POINT (2.42576077942813 41.5377750610147)"
"5120700911216195607130","TERRASSES DE BAR","06/06/2014","31/12/2018","365","41,5454450771846","2,45172275779197","POINT (2.45172275779197 41.5454450771846)"
"5120700911306972607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,544313307039","2,45473366807599","POINT (2.45473366807599 41.544313307039)"
"5120700911365249107130","TERRASSES DE BAR","09/06/2015","31/12/2019","365","41,5451816118826","2,43034717858236","POINT (2.43034717858236 41.5451816118826)"
"5120700911381086107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5333072513286","2,43785313241328","POINT (2.43785313241328 41.5333072513286)"
"5120700911329443107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5481600153572","2,45193021368993","POINT (2.45193021368993 41.5481600153572)"
"5120700911263895107130","TERRASSES DE BAR","17/07/2014","31/12/2018","365","41,533082247683","2,43783631617096","POINT (2.43783631617096 41.533082247683)"
"5120700911329343107130","TERRASSES DE BAR","01/01/2014","22/03/2017","365","41,5383411492105","2,43285142155147","POINT (2.43285142155147 41.5383411492105)"
"5120700911329975607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5406349840569","2,43875936771274","POINT (2.43875936771274 41.5406349840569)"
"5120700910795382607130","TERRASSES DE BAR","18/02/2014","31/12/2018","365","41,5389773894239","2,44692558856406","POINT (2.44692558856406 41.5389773894239)"
