CODI_INE,NOMBRE_HABITANTS,NOMBRE_DONES,NOMBRE_HOMES,DONES_00_16,HOMES_00_16,DONES_17_29,HOMES_17_29,DONES_30_49,HOMES_30_49,DONES_50_69,HOMES_50_69,DONES_70,HOMES_70,NOMBRE_VEHICLES,LAT,LNG,WKT
"5-7-05","413","180","233","39","49","28","27","54","92","38","46","21","19","114","41,5403266789616","2,42244121062387","POINT (2.42244121062387 41.5403266789616)"
"2-10-07","34","17","17","6","3","2","5","6","6","3","2","0","1","14","41,5405857493373","2,44842740989914","POINT (2.44842740989914 41.5405857493373)"
"5-1-06","222","110","112","20","17","10","20","34","40","32","26","14","9","95","41,5405305007374","2,42887747480667","POINT (2.42887747480667 41.5405305007374)"
"5-1-13","257","135","122","24","23","19","16","36","37","40","33","16","13","123","41,5407067533132","2,43435900310935","POINT (2.43435900310935 41.5407067533132)"
"5-7-06","333","164","169","24","36","16","22","48","45","51","46","25","20","126","41,5404592800745","2,42170063834427","POINT (2.42170063834427 41.5404592800745)"
"2-2-01","207","83","124","10","13","16","28","20","36","28","38","9","9","68","41,5404012129589","2,45335352967102","POINT (2.45335352967102 41.5404012129589)"
"1-3-06","190","101","89","10","14","10","7","43","39","19","18","19","11","84","41,5404919833476","2,4453210064796","POINT (2.4453210064796 41.5404919833476)"
"5-1-05","237","107","130","18","23","12","23","39","46","22","25","16","13","64","41,5405662390572","2,4282867192744","POINT (2.4282867192744 41.5405662390572)"
"5-20-04","607","304","303","48","66","42","37","91","101","83","69","40","30","165","41,5405657972945","2,42652560866553","POINT (2.42652560866553 41.5405657972945)"
"1-4-06","268","131","137","29","27","16","25","42","52","25","25","19","8","129","41,5403380385969","2,44171095017924","POINT (2.44171095017924 41.5403380385969)"
"5-20-03","246","127","119","28","22","13","17","39","41","25","25","22","14","88","41,5406199035951","2,42746416870377","POINT (2.42746416870377 41.5406199035951)"
"1-4-07","104","53","51","9","12","7","8","15","12","14","12","8","7","54","41,5401744650566","2,44299387075845","POINT (2.44299387075845 41.5401744650566)"
"5-1-08","110","62","48","7","4","9","6","10","11","23","19","13","8","55","41,5407528340096","2,43499889197968","POINT (2.43499889197968 41.5407528340096)"
"2-10-09","238","114","124","17","23","19","26","43","35","28","35","7","5","84","41,5404986055971","2,44917699656487","POINT (2.44917699656487 41.5404986055971)"
"1-4-08","203","109","94","15","19","14","11","32","26","28","30","20","8","100","41,5403648896345","2,44371108819726","POINT (2.44371108819726 41.5403648896345)"
"1-6-05","162","88","74","20","13","16","6","29","40","15","10","8","5","85","41,5408872316545","2,4378525863237","POINT (2.4378525863237 41.5408872316545)"
"5-16-07","100","55","45","6","5","3","3","7","6","25","17","14","14","41","41,5408445758405","2,42304446474714","POINT (2.42304446474714 41.5408445758405)"
"5-16-01","213","118","95","15","12","9","15","24","25","28","19","42","24","73","41,5407364397542","2,42473130675499","POINT (2.42473130675499 41.5407364397542)"
